ProjectCode,ReportMonth,State,OriginalCost,RevisedCost,Expenditure,Physical Progress,Agency,DateInconsistency,ProjectAgeDays,ApprovalToStartDays,CurrentExpenditureRatio,RobustCurrentExpenditurePct,RobustCurrentGap,HasRevisedCost,HasRevisedDoc,ProgressVelocity,ProgressScheduleGap,ExpenditureProgressGap,CostGrowth,ScheduleElapsedRatio,RemainingPlannedDays,ElapsedDays,PlannedDurationDays,ProgressBehindSchedule10,ProgressBehindSchedule20,ProgressBehindSchedule30,NegativeProgressVelocity,NoProgress,LateStageLowProgress,ExpenditureAhead10,ExpenditureAhead20,ExpenditureAhead30,OverallRiskEvent
400254,2026-04-01,Bihar,735.2,735.2,589.37,84.2,East Central Railway [ECR] - I,False,10470.0,-9618.0,80.1645810663765,80.1645810663765,4.035418933623504,0,1,,,-4.035418933623504,,,-20088.0,10470.0,-9618.0,0,0,0,0,0,0,0,0,0,0
400261,2026-04-01,Jharkhand,18668.0,20302.0,18690.0,88.74,National Thermal Power Corporation [NTPC],False,3073.0,0.0,92.05989557679047,92.05989557679047,-3.319895576790472,1,1,,,3.319895576790472,,,-3073.0,3073.0,0.0,0,0,0,0,0,0,0,0,0,1
400271,2026-04-01,Maharashtra,3445.0,3445.0,3002.93,50.0,Central Railway [CR] - II,False,6574.0,-3531.0,87.16777939042089,87.16777939042089,-37.16777939042089,0,1,,,37.16777939042089,,,-10105.0,6574.0,-3531.0,0,0,0,0,0,0,1,1,1,0
400273,2026-04-01,West Bengal,1189.0,1542.0,1390.59,96.9,Eastern Railway [ER] - I,False,6634.0,2528.0,90.18093385214007,90.18093385214007,6.719066147859934,1,1,,-103.1,-6.719066147859934,,2.0,-4106.0,6634.0,2528.0,1,1,1,0,0,0,0,0,0,0
400275,2026-04-01,"Multi-States(Andhra Pradesh,Tamil Nadu)",3631.0,3631.0,1259.7,16.5,Ministry of Railways,False,6391.0,92.0,34.692922060038555,34.692922060038555,-18.192922060038555,0,1,,-183.5,18.192922060038555,,2.0,-6299.0,6391.0,92.0,1,1,1,0,0,1,1,0,0,0
400277,2026-04-01,West Bengal,8964.0,8964.0,8621.5,86.6,RVNL - II,False,5296.0,579.0,96.17916108879965,96.17916108879965,-9.579161088799651,0,1,,-113.4,9.579161088799651,,2.0,-4717.0,5296.0,579.0,1,1,1,0,0,0,0,0,0,0
400280,2026-04-01,Tamil Nadu,734.0,734.01,486.53,99.9,Ministry of Railways,False,6360.0,366.0,66.28383809484885,66.28383809484885,33.61616190515116,1,1,,-100.1,-33.61616190515116,,2.0,-5994.0,6360.0,366.0,1,1,1,0,0,0,0,0,0,0
400291,2026-04-01,Chhattisgarh,1589.0,1798.0,1656.54,97.6,East Coast Railway [ECoR] - II,False,4779.0,28.0,92.13236929922135,92.13236929922135,5.467630700778642,1,1,,-102.4,-5.467630700778642,,2.0,-4751.0,4779.0,28.0,1,1,1,0,0,0,0,0,0,0
400298,2026-04-01,Andhra Pradesh,2312.0,5932.0,3069.35,55.01,South Central Railway [SCR] - II,False,3408.0,1736.0,51.74224544841537,51.74224544841537,3.2677545515846305,1,1,,-141.30336405529954,-3.2677545515846305,,1.9631336405529956,-1672.0,3408.0,1736.0,1,1,1,0,0,0,0,0,0,0
400299,2026-04-01,Odisha,1381.0,1960.77,770.08,52.1,National Aluminium Company Limited [NALCO],False,2892.0,0.0,39.27436670287693,39.27436670287693,12.825633297123069,1,1,,,-12.825633297123067,,,-2892.0,2892.0,0.0,0,0,0,0,0,0,0,0,0,1
400301,2026-04-01,"Multi-States(Karnataka, TamilNadu)",678.0,1732.0,1118.26,82.6,"Department of Water Resources, River Development & GR",False,4899.0,0.0,64.56466512702079,64.56466512702079,18.035334872979206,1,1,,,-18.03533487297921,,,-4899.0,4899.0,0.0,0,0,0,0,0,0,0,0,0,0
400312,2026-04-01,West Bengal,1210.12,1210.12,619.6,45.48,Eastern Coal Fields Limited [ECL],False,2191.0,0.0,51.20153373219185,51.20153373219185,-5.721533732191851,0,0,,,5.721533732191851,,,-2191.0,2191.0,0.0,0,0,0,0,0,0,0,0,0,0
400315,2026-04-01,West Bengal,5365.88,5365.88,623.88,18.47,Eastern Coal Fields Limited [ECL],False,1735.0,0.0,11.62679746844879,11.62679746844879,6.843202531551208,0,0,,,-6.843202531551208,,,-1735.0,1735.0,0.0,0,0,0,0,0,0,0,0,0,0
400321,2026-04-01,Madhya Pradesh,1729.68,1729.68,929.02,48.76,Northern Coalfields Limited [NCL],False,1977.0,0.0,53.710512927246654,53.710512927246654,-4.950512927246656,0,1,,,4.950512927246656,,,-1977.0,1977.0,0.0,0,0,0,0,0,0,0,0,0,0
400352,2026-04-01,Jharkhand,764.57,764.57,145.81,32.23,Ministry of Coal,False,2069.0,0.0,19.070850281857776,19.070850281857776,13.15914971814222,0,0,,,-13.15914971814222,,,-2069.0,2069.0,0.0,0,0,0,0,0,0,0,0,0,1
400353,2026-04-01,Maharashtra,711.01,711.01,174.62,19.02,Western Coalfields Limited [WCL],False,1643.0,973.0,24.55942954388827,24.55942954388827,-5.5394295438882715,0,0,,-149.8391983556012,5.539429543888272,,1.6885919835560124,-670.0,1643.0,973.0,1,1,1,0,0,1,0,0,0,0
400354,2026-04-01,Chhattisgarh,5241.4,5241.4,2910.11,38.0,South Eastern Coalfields Limited [SECL],False,1947.0,0.0,55.52161636204068,55.52161636204068,-17.52161636204068,0,0,,,17.52161636204068,,,-1947.0,1947.0,0.0,0,0,0,0,0,0,1,0,0,0
