ProjectCode,ProjectName,ReportMonth,ActualOutcome,PredictedRisk,Feature,SHAPValue,Impact,Rank
400162,BLOCK B EXPANSION [3.5 TO 8.0,2026-05-01,1,0.186,numeric__Prev_OriginalCost,0.10697,Increases Risk,7
400162,BLOCK B EXPANSION [3.5 TO 8.0,2026-05-01,1,0.186,numeric__ElapsedDays,-0.103303,Decreases Risk,8
400162,BLOCK B EXPANSION [3.5 TO 8.0,2026-05-01,1,0.186,numeric__CurrentExpenditureRatio,0.10184,Increases Risk,9
400162,BLOCK B EXPANSION [3.5 TO 8.0,2026-05-01,1,0.186,categorical__State_Madhya Pradesh,-0.101425,Decreases Risk,10
400168,"500 KTA PDHPP Project, Usar",2026-04-01,0,0.3468,numeric__Expenditure,0.328532,Increases Risk,1
400168,"500 KTA PDHPP Project, Usar",2026-04-01,0,0.3468,numeric__RemainingPlannedDays,0.231934,Increases Risk,2
400168,"500 KTA PDHPP Project, Usar",2026-04-01,0,0.3468,numeric__CurrentExpenditureRatio,0.178089,Increases Risk,3
400168,"500 KTA PDHPP Project, Usar",2026-04-01,0,0.3468,numeric__Prev_RobustGap,-0.164754,Decreases Risk,4
400168,"500 KTA PDHPP Project, Usar",2026-04-01,0,0.3468,numeric__missingindicator_Prev_Expenditure,-0.157979,Decreases Risk,5
400168,"500 KTA PDHPP Project, Usar",2026-04-01,0,0.3468,numeric__RobustCurrentExpenditurePct,0.146058,Increases Risk,6
400168,"500 KTA PDHPP Project, Usar",2026-04-01,0,0.3468,numeric__PlannedDurationDays,0.137352,Increases Risk,7
400168,"500 KTA PDHPP Project, Usar",2026-04-01,0,0.3468,categorical__Agency_National Highways Authority of India [NHAI],-0.130963,Decreases Risk,8
400168,"500 KTA PDHPP Project, Usar",2026-04-01,0,0.3468,numeric__ProjectAgeDays,-0.071356,Decreases Risk,9
400168,"500 KTA PDHPP Project, Usar",2026-04-01,0,0.3468,categorical__Agency_Ministry of Petroleum & Natural Gas,0.063506,Increases Risk,10
400168,"500 KTA PDHPP Project, Usar",2026-05-01,1,0.3214,categorical__Agency_National Highways Authority of India [NHAI],-0.383159,Decreases Risk,1
400168,"500 KTA PDHPP Project, Usar",2026-05-01,1,0.3214,numeric__Expenditure,0.347915,Increases Risk,2
