ProjectCode,ProjectName,ReportMonth,OverallRiskProbability,OverallRiskPrediction,TopFactor1,TopFactor1_SHAP,TopFactor2,TopFactor2_SHAP,TopFactor3,TopFactor3_SHAP,TopFactor4,TopFactor4_SHAP,TopFactor5,TopFactor5_SHAP,RiskExplanation
612781,,2026-05-01,0.278289,0,Agency_Steel Authority of India Limited [SAIL],0.645079,Agency_National Highways Authority of India [NHAI],-0.42272,ExpenditureProgressGap,-0.340542,RobustCurrentGap,-0.237116,ProgressVelocity,-0.16532,Agency_Steel Authority of India Limited [SAIL]; State_West Bengal; RemainingPlannedDays
400156,,2026-04-01,0.524872,1,Agency_Ministry of Coal,0.750128,State_Jharkhand,0.473747,HasRevisedDoc,-0.344918,Agency_National Highways Authority of India [NHAI],-0.247378,RevisedCost,-0.182293,Agency_Ministry of Coal; State_Jharkhand; CurrentExpenditureRatio
617255,,2026-05-01,0.375468,0,Agency_Steel Authority of India Limited [SAIL],0.628373,ExpenditureProgressGap,-0.381039,Agency_National Highways Authority of India [NHAI],-0.34361,RobustCurrentGap,-0.265324,ProgressVelocity,-0.200558,Agency_Steel Authority of India Limited [SAIL]; CurrentExpenditureRatio; Physical Progress
618982,,2026-05-01,0.455091,1,Agency_National Highways Authority of India [NHAI],-0.444013,CurrentExpenditureRatio,0.390448,ProgressVelocity,-0.207459,ExpenditureProgressGap,-0.186659,RobustCurrentGap,-0.176174,CurrentExpenditureRatio; ProjectAgeDays; Expenditure
618089,,2026-04-01,0.314169,0,CurrentExpenditureRatio,-0.603235,Expenditure,-0.304982,ExpenditureProgressGap,0.266589,Agency_National Highways Authority of India [NHAI],-0.258114,ProgressVelocity,-0.22811,ExpenditureProgressGap; Physical Progress; ProgressScheduleGap
611586,,2026-04-01,0.079925,0,Agency_National Highways Authority of India [NHAI],-0.399942,OriginalCost,-0.304755,RevisedCost,-0.209683,RobustCurrentGap,-0.203084,Physical Progress,-0.202296,CurrentExpenditureRatio; HasRevisedCost; HasRevisedDoc
705588,,2026-04-01,0.022939,0,CurrentExpenditureRatio,-1.087443,Agency_National Highways Authority of India [NHAI],-0.530427,RobustCurrentGap,-0.380532,ExpenditureProgressGap,-0.302367,RobustCurrentExpenditurePct,-0.230329,HasRevisedCost; HasRevisedDoc; NoProgress
618572,,2026-04-01,0.536569,1,Agency_National Highways Authority of India [NHAI],0.938448,Physical Progress,-0.468058,CurrentExpenditureRatio,-0.383676,RobustCurrentGap,0.28994,ProgressVelocity,-0.261115,Agency_National Highways Authority of India [NHAI]; RobustCurrentGap; HasRevisedCost
619201,,2026-04-01,0.55051,1,Agency_National Highways Authority of India [NHAI],0.583593,ProgressVelocity,-0.34959,State_Haryana,-0.280405,OriginalCost,-0.24888,ExpenditureProgressGap,0.158392,Agency_National Highways Authority of India [NHAI]; ExpenditureProgressGap; RevisedCost
611735,,2026-05-01,0.797285,1,ProgressVelocity,0.513662,RobustCurrentGap,0.416493,Agency_National Highways Authority of India [NHAI],-0.396726,CurrentExpenditureRatio,0.362702,Physical Progress,0.341064,ProgressVelocity; RobustCurrentGap; CurrentExpenditureRatio
705613,,2026-05-01,0.03964,0,CurrentExpenditureRatio,-1.106568,Agency_National Highways Authority of India [NHAI],-0.504032,Expenditure,-0.473296,OriginalCost,-0.288962,RobustCurrentExpenditurePct,-0.218355,HasRevisedDoc; HasRevisedCost; Physical Progress
